flow_id,timestamp,datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type 
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38696,1599139087,0000000000000001,10.0.0.7,5201,10.0.0.2,38696,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38696,1599139087,0000000000000002,10.0.0.7,5201,10.0.0.2,38696,6,-1,-1
0000000000000001 3 10.0.0.4 39812 10.0.0.7 5201,1599139088,0000000000000001,10.0.0.4,39812,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39812 10.0.0.7 5201,1599139088,0000000000000002,10.0.0.4,39812,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39812,1599139088,0000000000000002,10.0.0.7,5201,10.0.0.4,39812,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39812,1599139088,0000000000000001,10.0.0.7,5201,10.0.0.4,39812,6,-1,-1
0000000000000001 2 10.0.0.3 45054 10.0.0.7 5201,1599139107,0000000000000001,10.0.0.3,45054,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45054 10.0.0.7 5201,1599139107,0000000000000002,10.0.0.3,45054,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45054,1599139107,0000000000000002,10.0.0.7,5201,10.0.0.3,45054,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45054,1599139107,0000000000000001,10.0.0.7,5201,10.0.0.3,45054,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45054,1599139107,0000000000000002,10.0.0.7,5201,10.0.0.3,45054,6,-1,-1
0000000000000001 1 10.0.0.2 38702 10.0.0.7 5201,1599139108,0000000000000001,10.0.0.2,38702,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38702 10.0.0.7 5201,1599139108,0000000000000002,10.0.0.2,38702,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38702,1599139108,0000000000000002,10.0.0.7,5201,10.0.0.2,38702,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38702,1599139108,0000000000000001,10.0.0.7,5201,10.0.0.2,38702,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38702,1599139108,0000000000000001,10.0.0.7,5201,10.0.0.2,38702,6,-1,-1
0000000000000001 3 10.0.0.4 39818 10.0.0.7 5201,1599139108,0000000000000001,10.0.0.4,39818,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39818 10.0.0.7 5201,1599139108,0000000000000002,10.0.0.4,39818,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39818,1599139108,0000000000000002,10.0.0.7,5201,10.0.0.4,39818,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39818,1599139108,0000000000000001,10.0.0.7,5201,10.0.0.4,39818,6,-1,-1
0000000000000001 2 10.0.0.3 45064 10.0.0.7 5201,1599139128,0000000000000001,10.0.0.3,45064,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45064 10.0.0.7 5201,1599139128,0000000000000002,10.0.0.3,45064,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45064,1599139128,0000000000000002,10.0.0.7,5201,10.0.0.3,45064,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45064,1599139128,0000000000000001,10.0.0.7,5201,10.0.0.3,45064,6,-1,-1
